,mean_WIS,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/batch_normalization,config/batch_size,config/context_length,config/epochs,config/num_batches_per_epoch,config/num_hidden_dimensions,config/prediction_length,logdir
0,490.0518595759473,242.53136467933652,False,,,1,57d1b_00000,ec45524052904a5cad85b8f0577c0a83,2023-06-01_19-58-43,1685642323,242.53136467933652,595918,econ-stat-rr01,172.22.1.197,242.53136467933652,0,1,0.0064516067504882,True,64,32,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00000_0_batch_normalization=True,batch_size=64,context_length=32,epochs=75,num_batches_per_epoch=20,num_hidden__2023-06-01_19-54-37"
1,455.39115832464375,297.236368894577,False,,,1,57d1b_00001,4094edd5cfc04bed91cbac7ffd457515,2023-06-01_19-59-43,1685642383,297.236368894577,596021,econ-stat-rr01,172.22.1.197,297.236368894577,0,1,0.0056409835815429,False,64,32,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00001_1_batch_normalization=False,batch_size=64,context_length=32,epochs=75,num_batches_per_epoch=20,num_hidden_2023-06-01_19-54-41"
2,481.6703901633647,491.39359068870544,False,,,1,57d1b_00002,e54972f6b3f34fba8d67810a371e75e5,2023-06-01_20-02-57,1685642577,491.39359068870544,596023,econ-stat-rr01,172.22.1.197,491.39359068870544,0,1,0.0050446987152099,True,124,32,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00002_2_batch_normalization=True,batch_size=124,context_length=32,epochs=75,num_batches_per_epoch=20,num_hidden_2023-06-01_19-54-41"
3,458.9303527980536,478.34029483795166,False,,,1,57d1b_00003,c021f6d0f6594bdfa34c3d75de5b0db2,2023-06-01_20-02-44,1685642564,478.34029483795166,596025,econ-stat-rr01,172.22.1.197,478.34029483795166,0,1,0.005312442779541,False,124,32,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00003_3_batch_normalization=False,batch_size=124,context_length=32,epochs=75,num_batches_per_epoch=20,num_hidde_2023-06-01_19-54-41"
4,442.9759645464025,282.88048005104065,False,,,1,57d1b_00004,579a564ea4b84b1db31bbaa369bb2f11,2023-06-01_19-59-28,1685642368,282.88048005104065,596027,econ-stat-rr01,172.22.1.197,282.88048005104065,0,1,0.0062098503112792,True,64,52,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00004_4_batch_normalization=True,batch_size=64,context_length=52,epochs=75,num_batches_per_epoch=20,num_hidden__2023-06-01_19-54-41"
5,423.53206030587415,301.9549095630646,False,,,1,57d1b_00005,0a86883181ba4ecbb670b53240892b52,2023-06-01_19-59-47,1685642387,301.9549095630646,596029,econ-stat-rr01,172.22.1.197,301.9549095630646,0,1,0.0055515766143798,False,64,52,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00005_5_batch_normalization=False,batch_size=64,context_length=52,epochs=75,num_batches_per_epoch=20,num_hidden_2023-06-01_19-54-41"
6,429.0962156760514,478.21163868904114,False,,,1,57d1b_00006,0f651a52399049ff861e4bf7a77a9006,2023-06-01_20-02-44,1685642564,478.21163868904114,596031,econ-stat-rr01,172.22.1.197,478.21163868904114,0,1,0.0063719749450683,True,124,52,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00006_6_batch_normalization=True,batch_size=124,context_length=52,epochs=75,num_batches_per_epoch=20,num_hidden_2023-06-01_19-54-41"
7,441.41670142509565,490.5413045883178,False,,,1,57d1b_00007,7c84a9b6dde9465891d51d3740d97696,2023-06-01_20-02-56,1685642576,490.5413045883178,596033,econ-stat-rr01,172.22.1.197,490.5413045883178,0,1,0.0050756931304931,False,124,52,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00007_7_batch_normalization=False,batch_size=124,context_length=52,epochs=75,num_batches_per_epoch=20,num_hidde_2023-06-01_19-54-41"
8,433.5656760514424,297.9920320510864,False,,,1,57d1b_00008,b6a38e956b4e452c9ab8846a8d3fa93d,2023-06-01_19-59-43,1685642383,297.9920320510864,596035,econ-stat-rr01,172.22.1.197,297.9920320510864,0,1,0.0063486099243164,True,64,64,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00008_8_batch_normalization=True,batch_size=64,context_length=64,epochs=75,num_batches_per_epoch=20,num_hidden__2023-06-01_19-54-41"
9,464.0753736531109,299.4017608165741,False,,,1,57d1b_00009,1e9e8a9206084ce0a6337668358869c5,2023-06-01_19-59-45,1685642385,299.4017608165741,596037,econ-stat-rr01,172.22.1.197,299.4017608165741,0,1,0.0065460205078125,False,64,64,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00009_9_batch_normalization=False,batch_size=64,context_length=64,epochs=75,num_batches_per_epoch=20,num_hidden_2023-06-01_19-54-41"
10,427.8464546402504,460.8618929386139,False,,,1,57d1b_00010,457c529f180a46d8b5bf49fbac104b3f,2023-06-01_20-02-26,1685642546,460.8618929386139,596039,econ-stat-rr01,172.22.1.197,460.8618929386139,0,1,0.0055849552154541,True,124,64,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00010_10_batch_normalization=True,batch_size=124,context_length=64,epochs=75,num_batches_per_epoch=20,num_hidde_2023-06-01_19-54-41"
11,440.78090893291625,457.7039346694946,False,,,1,57d1b_00011,cd74bb359a0a49578c4e546bca9e3922,2023-06-01_20-02-23,1685642543,457.7039346694946,596041,econ-stat-rr01,172.22.1.197,457.7039346694946,0,1,0.005185842514038,False,124,64,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00011_11_batch_normalization=False,batch_size=124,context_length=64,epochs=75,num_batches_per_epoch=20,num_hidd_2023-06-01_19-54-41"
12,443.2246567605144,252.94022798538208,False,,,1,57d1b_00012,b24ffe97cfbd4abf9ceb1cb5d0936987,2023-06-01_19-58-58,1685642338,252.94022798538208,596043,econ-stat-rr01,172.22.1.197,252.94022798538208,0,1,0.0055656433105468,True,64,104,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00012_12_batch_normalization=True,batch_size=64,context_length=104,epochs=75,num_batches_per_epoch=20,num_hidde_2023-06-01_19-54-41"
13,448.4818083072645,298.4845926761627,False,,,1,57d1b_00013,2da270811b334d728452672e30093091,2023-06-01_19-59-44,1685642384,298.4845926761627,596045,econ-stat-rr01,172.22.1.197,298.4845926761627,0,1,0.006382942199707,False,64,104,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00013_13_batch_normalization=False,batch_size=64,context_length=104,epochs=75,num_batches_per_epoch=20,num_hidd_2023-06-01_19-54-41"
14,429.0250608272506,499.580934047699,False,,,1,57d1b_00014,ec45524052904a5cad85b8f0577c0a83,2023-06-01_20-07-03,1685642823,499.580934047699,595918,econ-stat-rr01,172.22.1.197,499.580934047699,0,1,0.0064516067504882,True,124,104,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00014_14_batch_normalization=True,batch_size=124,context_length=104,epochs=75,num_batches_per_epoch=20,num_hidd_2023-06-01_19-58-44"
15,439.1549661105318,465.7479417324066,False,,,1,57d1b_00015,b24ffe97cfbd4abf9ceb1cb5d0936987,2023-06-01_20-06-44,1685642804,465.7479417324066,596043,econ-stat-rr01,172.22.1.197,465.7479417324066,0,1,0.0055656433105468,False,124,104,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00015_15_batch_normalization=False,batch_size=124,context_length=104,epochs=75,num_batches_per_epoch=20,num_hid_2023-06-01_19-58-59"
16,457.5088503649635,304.5653042793274,False,,,1,57d1b_00016,579a564ea4b84b1db31bbaa369bb2f11,2023-06-01_20-04-33,1685642673,304.5653042793274,596027,econ-stat-rr01,172.22.1.197,304.5653042793274,0,1,0.0062098503112792,True,64,208,75,20,"[140, 140]",4,"/home/reffert/ray_results/objectiveFNN_2023-06-01_19-54-13/objectiveFNN_57d1b_00016_16_batch_normalization=True,batch_size=64,context_length=208,epochs=75,num_batches_per_epoch=20,num_hidde_2023-06-01_19-59-29"
