,Location,2011
217,LK Alb-Donau-Kreis,186444
218,LK Biberach,187508
219,LK Bodenseekreis,204483
204,LK Breisgau-Hochschwarzwald,246437
179,LK Böblingen,364458
200,LK Calw,150990
205,LK Emmendingen,156723
201,LK Enzkreis,191461
180,LK Esslingen,504961
202,LK Freudenstadt,115220
181,LK Göppingen,247194
189,LK Heidenheim,127691
185,LK Heilbronn,323168
186,LK Hohenlohekreis,107200
193,LK Karlsruhe,424510
210,LK Konstanz,268263
182,LK Ludwigsburg,512086
211,LK Lörrach,219481
188,LK Main-Tauber-Kreis,130431
197,LK Neckar-Odenwald-Kreis,142435
206,LK Ortenaukreis,410408
190,LK Ostalbkreis,306425
194,LK Rastatt,222201
220,LK Ravensburg,270129
183,LK Rems-Murr-Kreis,407150
213,LK Reutlingen,273646
198,LK Rhein-Neckar-Kreis,525204
207,LK Rottweil,136049
208,LK Schwarzwald-Baar-Kreis,203978
187,LK Schwäbisch Hall,186427
221,LK Sigmaringen,127409
209,LK Tuttlingen,132192
214,LK Tübingen,212800
212,LK Waldshut,163141
215,LK Zollernalbkreis,185129
191,SK Baden-Baden,52424
203,SK Freiburg i.Breisgau,214234
195,SK Heidelberg,148415
184,SK Heilbronn,116716
192,SK Karlsruhe,291995
196,SK Mannheim,291458
199,SK Pforzheim,115211
178,SK Stuttgart,591015
216,SK Ulm,117541
