,year,date,location,week,age_group,value
0,2002,2002-01-06,LK Alb-Donau-Kreis,1,00+,0.0
1,2002,2002-01-13,LK Alb-Donau-Kreis,2,00+,0.0
2,2002,2002-01-20,LK Alb-Donau-Kreis,3,00+,0.0
3,2002,2002-01-27,LK Alb-Donau-Kreis,4,00+,0.0
4,2002,2002-02-03,LK Alb-Donau-Kreis,5,00+,0.0
5,2002,2002-02-10,LK Alb-Donau-Kreis,6,00+,0.0
6,2002,2002-02-17,LK Alb-Donau-Kreis,7,00+,1.0
7,2002,2002-02-24,LK Alb-Donau-Kreis,8,00+,0.0
8,2002,2002-03-03,LK Alb-Donau-Kreis,9,00+,0.0
9,2002,2002-03-10,LK Alb-Donau-Kreis,10,00+,3.0
10,2002,2002-03-17,LK Alb-Donau-Kreis,11,00+,7.0
11,2002,2002-03-24,LK Alb-Donau-Kreis,12,00+,1.0
12,2002,2002-03-31,LK Alb-Donau-Kreis,13,00+,2.0
13,2002,2002-04-07,LK Alb-Donau-Kreis,14,00+,0.0
14,2002,2002-04-14,LK Alb-Donau-Kreis,15,00+,0.0
15,2002,2002-04-21,LK Alb-Donau-Kreis,16,00+,0.0
16,2002,2002-04-28,LK Alb-Donau-Kreis,17,00+,0.0
17,2002,2002-05-05,LK Alb-Donau-Kreis,18,00+,0.0
18,2002,2002-05-12,LK Alb-Donau-Kreis,19,00+,0.0
19,2002,2002-05-19,LK Alb-Donau-Kreis,20,00+,0.0
20,2002,2002-05-26,LK Alb-Donau-Kreis,21,00+,0.0
21,2002,2002-06-02,LK Alb-Donau-Kreis,22,00+,0.0
22,2002,2002-06-09,LK Alb-Donau-Kreis,23,00+,0.0
23,2002,2002-06-16,LK Alb-Donau-Kreis,24,00+,0.0
24,2002,2002-06-23,LK Alb-Donau-Kreis,25,00+,0.0
25,2002,2002-06-30,LK Alb-Donau-Kreis,26,00+,0.0
26,2002,2002-07-07,LK Alb-Donau-Kreis,27,00+,0.0
27,2002,2002-07-14,LK Alb-Donau-Kreis,28,00+,0.0
28,2002,2002-07-21,LK Alb-Donau-Kreis,29,00+,0.0
29,2002,2002-08-18,LK Alb-Donau-Kreis,33,00+,0.0
30,2002,2002-09-01,LK Alb-Donau-Kreis,35,00+,0.0
31,2002,2002-09-15,LK Alb-Donau-Kreis,37,00+,0.0
32,2002,2002-09-22,LK Alb-Donau-Kreis,38,00+,0.0
33,2002,2002-09-29,LK Alb-Donau-Kreis,39,00+,0.0
34,2002,2002-10-06,LK Alb-Donau-Kreis,40,00+,0.0
35,2002,2002-10-20,LK Alb-Donau-Kreis,42,00+,0.0
36,2002,2002-10-27,LK Alb-Donau-Kreis,43,00+,0.0
