Location,2011
SK Flensburg,82801
SK Kiel,237667
SK Lübeck,210679
SK Neumünster,77201
LK Dithmarschen,133487
LK Herzogtum Lauenburg,187296
LK Nordfriesland,163029
LK Ostholstein,197960
LK Pinneberg,297307
LK Plön,127212
LK Rendsburg-Eckernförde,268846
LK Schleswig-Flensburg,195721
LK Segeberg,261141
LK Steinburg,130543
LK Stormarn,231376
SK Hamburg,1718187
SK Braunschweig,243829
SK Salzgitter,98588
SK Wolfsburg,120889
LK Gifhorn,170865
LK Goslar,139575
LK Helmstedt,90919
LK Northeim,136516
LK Peine,130165
LK Wolfenbüttel,120425
LK Göttingen,324197
Region Hannover,1106219
LK Diepholz,209745
LK Hameln-Pyrmont,149513
LK Hildesheim,276383
LK Holzminden,73155
LK Nienburg (Weser),121390
LK Schaumburg,157026
LK Celle,176054
LK Cuxhaven,198115
LK Harburg,239269
LK Lüchow-Dannenberg,49082
LK Lüneburg,174685
LK Osterholz,110842
LK Rotenburg (Wümme),162182
LK Heidekreis,136072
LK Stade,195606
LK Uelzen,93284
LK Verden,131936
SK Delmenhorst,73364
SK Emden,49848
SK Oldenburg,157706
SK Osnabrück,154513
SK Wilhelmshaven,76926
LK Ammerland,117951
LK Aurich,186713
LK Cloppenburg,159290
LK Emsland,311634
LK Friesland,97857
LK Grafschaft Bentheim,133400
LK Leer,163991
LK Oldenburg,125265
LK Osnabrück,350418
LK Vechta,132752
LK Wesermarsch,89527
LK Wittmund,56572
SK Bremen,544043
SK Bremerhaven,108139
SK Düsseldorf,589649
SK Duisburg,487470
SK Essen,565900
SK Krefeld,221864
SK Mönchengladbach,254834
SK Mülheim a.d.Ruhr,166804
SK Oberhausen,210256
SK Remscheid,110132
SK Solingen,155080
SK Wuppertal,342570
LK Kleve,301171
LK Mettmann,477919
LK Rhein-Kreis Neuss,437732
LK Viersen,295982
LK Wesel,459740
SK Bonn,307530
SK Köln,1013665
SK Leverkusen,159373
StädteRegion Aachen,541521
LK Düren,258524
LK Rhein-Erft-Kreis,452792
LK Euskirchen,187801
LK Heinsberg,248161
LK Oberbergischer Kreis,272287
LK Rheinisch-Bergischer Kreis,277816
LK Rhein-Sieg-Kreis,579594
SK Bottrop,117074
SK Gelsenkirchen,257994
SK Münster,293393
LK Borken,364093
LK Coesfeld,215031
LK Recklinghausen,617831
LK Steinfurt,433820
LK Warendorf,272985
SK Bielefeld,327199
LK Gütersloh,350814
LK Herford,249947
LK Höxter,144891
LK Lippe,347729
LK Minden-Lübbecke,310932
LK Paderborn,295614
SK Bochum,362585
SK Dortmund,571403
SK Hagen,187333
SK Hamm,176474
SK Herne,154887
LK Ennepe-Ruhr-Kreis,325145
LK Hochsauerlandkreis,265199
